Gene,GEI.71b_129_ratio_plot,GEI.72b_129_ratio_plot,GEI.73b_129_ratio_plot,GEI.74b_129_ratio_plot
Tmem28,-1.0,-1.0,-0.927928,1.0
Eda,-1.0,-0.98789212,-0.9458734,0.7254320000000001
Awat2,-1.0,-1.0,-0.714286,1.0
Igbp1,-0.780488,-0.22454399999999997,-0.153424,0.10656200000000005
P2ry4,,-0.42857199999999995,-1.0,0.16666599999999998
Arr3,-1.0,,-1.0,-0.333334
Pdzd11,-1.0,-0.872,-0.9064994,0.710628
Kif4,-0.999097202,-0.8630286,-0.855429,0.6851259999999999
Gdpd2,-0.99782372,-0.99093656,-0.9651398,0.7437940000000001
Dlg3,-1.0,-1.0,-0.816092,0.295374
Slc7a3,-1.0,-1.0,-1.0,0.6000000000000001
Snx12,-0.38282400000000005,-0.5588500000000001,-0.35297199999999995,0.8442400000000001
Foxo4,-1.0,-0.99621928,-0.8954468,0.7715799999999999
Med12;Nlgn3,-0.998827766,-0.998611278,-0.8838244,0.8570260000000001
Zmym3,-0.99673942,-0.99388254,-0.885108,0.7728539999999999
Nono;NM_001252518,-0.99712506,-0.9572816,-0.8229256,0.717994
Itgb1bp2,-1.0,-0.98297872,-0.8666666000000001,0.8
cuff_18208,-1.0,-1.0,-1.0,0.578948
Taf1,-0.22868599999999994,-0.279918,-0.29868799999999995,-0.051072000000000006
Ogt,-0.13232,-0.16204600000000002,-0.09795399999999999,0.14369600000000005
Cxcr3,,-1.0,,1.0
Nhsl2,-0.9779462,-1.0,-0.03251999999999999,0.743954
Rgag4,-0.968504,-1.0,0.6000000000000001,0.8208279999999999
Ercc6l,-0.07719200000000004,-0.302524,-0.14794600000000002,0.854838
Rps4x,0.6296299999999999,0.3076920000000001,0.644444,0.95
Cited1,-1.0,-1.0,-0.98142414,0.958334
Hdac8,-1.0,-0.971223,-0.724138,0.9306939999999999
Phka1,-0.9970216,-0.999165972,-0.8749472,0.8168580000000001
Nap1l2,,,-0.454546,0.95122
Chic1,-1.0,-0.99744898,-0.8565942,0.8442320000000001
Tsx,-1.0,-1.0,-0.538462,0.6470579999999999
Xist,0.9978100000000001,0.998434,0.998238,-0.99838613
Enox,0.0045479999999999965,-0.11346199999999995,-0.22079000000000004,0.2927820000000001
Gm9159,0.8,-0.07692399999999999,-0.333334,0.666666
B230206F22Rik,-0.31681400000000004,-0.672268,-0.442176,0.13745999999999992
Slc16a2,-0.999582348,-0.999496094,-0.9003516,0.8727339999999999
Rlim,-1.0,-0.756822,-0.48708799999999997,0.84415
C77370,-1.0,-0.99538816,-0.9522464,0.864198
Abcb7,-0.99656946,-1.0,-0.8508014,0.882762
Uprt,-1.0,-1.0,-0.9076202,0.7095400000000001
Zdhhc15,-1.0,-1.0,-0.8722786,0.7576419999999999
cuff_18225,,,,1.0
Magee2,,-1.0,,
5530601H04Rik,-0.18481800000000004,-0.43567199999999995,-0.27884,0.11262799999999995
cuff_18557,-0.16666599999999998,-0.371428,-0.170732,0.773584
2610029G23Rik,-0.08643199999999995,-0.20853,-0.08115399999999995,0.227298
Magee1,-0.889003,-0.9781022,-0.9108006,0.691516
5330434G04Rik,-0.99901088,-1.0,-0.9531076,0.7669900000000001
Atrx,-0.998779744,-0.999056826,-0.8979448,0.7689699999999999
Magt1,-0.98639876,-0.99339466,-0.7011959999999999,0.756534
Cox7b,-0.252748,-1.0,-0.44444399999999995,0.7586200000000001
Atp7a,-0.99788024,-0.99179954,-0.703822,0.4900899999999999
Pgk1,-1.0,-1.0,-0.8947368,0.5
Taf9b,-1.0,-1.0,1.0,0.981768
Fndc3c1,-1.0,-1.0,-1.0,0.9094340000000001
Lpar4,-1.0,-1.0,-0.8880706,0.7935380000000001
Itm2a,,-1.0,-0.9675324,0.806154
2610002M06Rik,,-1.0,-0.9155378,0.875218
Brwd3,-1.0,-1.0,-0.8852986,0.7276560000000001
2810403D21Rik,-1.0,-1.0,-0.971831,0.844036
Hmgn5,-0.47541,-0.46448,-0.26917199999999997,0.8223499999999999
Sh3bgrl,-0.999443208,-0.999426194,-0.9022016,0.756446
Gm6377,-1.0,-1.0,-0.578948,1.0
Pou3f4,,-1.0,-0.8931082,
Rps6ka6,-1.0,-0.99261084,-0.9112118,0.954704
Chm,-0.15887799999999996,-0.99322034,-0.6154839999999999,0.877462
Pabpc5,-1.0,-1.0,-1.0,-1.0
cuff_18572,,-1.0,,0.5
Pcdh11x,-1.0,-1.0,-0.9081164,0.732702
Nap1l3,,-1.0,-0.944,0.8620680000000001
